"lat","lon","max_dhw"
-17.67,-149.97,6.06114285714286
-17.67,-149.96,6.02157142857143
-17.67,-149.95,5.99914285714286
-17.67,-149.94,5.98571428571429
-17.67,-149.93,5.973
-17.67,-149.92,5.957
-17.67,-149.91,5.931
-17.67,-149.9,5.89457142857143
-17.67,-149.89,5.86414285714286
-17.67,-149.88,5.85157142857143
-17.67,-149.87,5.85657142857143
-17.67,-149.86,5.88228571428571
-17.67,-149.85,5.92328571428571
-17.67,-149.84,5.97542857142857
-17.67,-149.83,6.02528571428571
-17.67,-149.82,6.06428571428571
-17.67,-149.81,6.09157142857143
-17.67,-149.8,6.10614285714286
-17.67,-149.79,6.10957142857143
-17.67,-149.78,6.10257142857143
-17.67,-149.77,6.08328571428571
-17.67,-149.76,6.04757142857143
-17.67,-149.75,6.00042857142857
-17.67,-149.74,5.93128571428572
-17.67,-149.73,5.83914285714286
-17.67,-149.72,5.73428571428572
-17.67,-149.71,5.63742857142857
-17.67,-149.7,5.54914285714285
-17.66,-149.97,6.08285714285714
-17.66,-149.96,6.03757142857143
-17.66,-149.95,6.01028571428572
-17.66,-149.94,5.997
-17.66,-149.93,5.986
-17.66,-149.92,5.97285714285714
-17.66,-149.91,5.95142857142857
-17.66,-149.9,5.92185714285714
-17.66,-149.89,5.90357142857143
-17.66,-149.88,5.897
-17.66,-149.87,5.90485714285714
-17.66,-149.86,5.92928571428571
-17.66,-149.85,5.96314285714286
-17.66,-149.84,6.00214285714286
-17.66,-149.83,6.04257142857143
-17.66,-149.82,6.07528571428571
-17.66,-149.81,6.09871428571429
-17.66,-149.8,6.10585714285715
-17.66,-149.79,6.10171428571429
-17.66,-149.78,6.09228571428571
-17.66,-149.77,6.07557142857143
-17.66,-149.76,6.04214285714286
-17.66,-149.75,5.99171428571429
-17.66,-149.74,5.92328571428572
-17.66,-149.73,5.83885714285714
-17.66,-149.72,5.746
-17.66,-149.71,5.65357142857143
-17.66,-149.7,5.56842857142857
-17.65,-149.97,6.10185714285714
-17.65,-149.96,6.04842857142857
-17.65,-149.95,6.017
-17.65,-149.94,6.00514285714286
-17.65,-149.93,5.99214285714286
-17.65,-149.92,5.97371428571429
-17.65,-149.91,5.96042857142857
