site,lat,lon
Haaapiti,-17.55089,-149.89619
Taotaha,-17.53208,-149.91583
Tetaiuo,-17.50896,-149.92339
Gendron,-17.50014,-149.92244
Tiahura,-17.48573,-149.89969
Entre 2 baies,-17.48027,-149.83676
Pihaena,-17.48261,-149.82823
Aroa,-17.47335,-149.77722
Nuarei,-17.49963,-149.75758
Temae,-17.50574,-149.76175
Motu Ahi,-17.54601,-149.77186
Afareaitu,-17.56583,-149.78584
Maatea,-17.59228,-149.79577
