"year","date","site","transect","coral_genus","percent"
2005,2005-02-18,"Tiahura",2,"Porites",14
2005,2005-02-18,"Tiahura",2,"other",6
2005,2005-02-18,"Tiahura",3,"Acropora",12
2005,2005-02-18,"Tiahura",3,"Astrea",0
2005,2005-02-18,"Tiahura",3,"Montipora",4
2005,2005-02-18,"Tiahura",3,"Pocillopora",6
2005,2005-02-18,"Tiahura",3,"Porites",6
2005,2005-02-18,"Tiahura",3,"other",6
2005,2005-02-19,"Afareaitu",1,"Acropora",14
2005,2005-02-19,"Afareaitu",1,"Astrea",0
2005,2005-02-19,"Afareaitu",1,"Montipora",2
2005,2005-02-19,"Afareaitu",1,"Pocillopora",14
2005,2005-02-19,"Afareaitu",1,"Porites",0
2005,2005-02-19,"Afareaitu",1,"other",2
2005,2005-02-19,"Afareaitu",2,"Acropora",8
2005,2005-02-19,"Afareaitu",2,"Astrea",0
2005,2005-02-19,"Afareaitu",2,"Montipora",8
2005,2005-02-19,"Afareaitu",2,"Pocillopora",16
2005,2005-02-19,"Afareaitu",2,"Porites",4
2005,2005-02-19,"Afareaitu",2,"other",0
2005,2005-02-19,"Afareaitu",3,"Acropora",2
2005,2005-02-19,"Afareaitu",3,"Astrea",0
2005,2005-02-19,"Afareaitu",3,"Montipora",2
2005,2005-02-19,"Afareaitu",3,"Pocillopora",10
2005,2005-02-19,"Afareaitu",3,"Porites",2
2005,2005-02-19,"Afareaitu",3,"other",0
2005,2005-02-19,"Maatea",1,"Acropora",2
2005,2005-02-19,"Maatea",1,"Astrea",2
2005,2005-02-19,"Maatea",1,"Montipora",0
2005,2005-02-19,"Maatea",1,"Pocillopora",34
2005,2005-02-19,"Maatea",1,"Porites",8
2005,2005-02-19,"Maatea",1,"other",2
2005,2005-02-19,"Maatea",2,"Acropora",4
2005,2005-02-19,"Maatea",2,"Astrea",0
2005,2005-02-19,"Maatea",2,"Montipora",0
2005,2005-02-19,"Maatea",2,"Pocillopora",34
2005,2005-02-19,"Maatea",2,"Porites",8
2005,2005-02-19,"Maatea",2,"other",0
2005,2005-02-19,"Maatea",3,"Acropora",6
2005,2005-02-19,"Maatea",3,"Astrea",0
2005,2005-02-19,"Maatea",3,"Montipora",0
2005,2005-02-19,"Maatea",3,"Pocillopora",20
2005,2005-02-19,"Maatea",3,"Porites",2
2005,2005-02-19,"Maatea",3,"other",0
2005,2005-02-19,"Motu Ahi",1,"Acropora",16
2005,2005-02-19,"Motu Ahi",1,"Astrea",4
2005,2005-02-19,"Motu Ahi",1,"Montipora",0
2005,2005-02-19,"Motu Ahi",1,"Pocillopora",32
2005,2005-02-19,"Motu Ahi",1,"Porites",2
2005,2005-02-19,"Motu Ahi",1,"other",0
2005,2005-02-19,"Motu Ahi",2,"Acropora",8
2005,2005-02-19,"Motu Ahi",2,"Astrea",2
2005,2005-02-19,"Motu Ahi",2,"Montipora",8
2005,2005-02-19,"Motu Ahi",2,"Pocillopora",24
2005,2005-02-19,"Motu Ahi",2,"Porites",2
2005,2005-02-19,"Motu Ahi",2,"other",0
2005,2005-02-19,"Motu Ahi",3,"Acropora",16
2005,2005-02-19,"Motu Ahi",3,"Astrea",2
2005,2005-02-19,"Motu Ahi",3,"Montipora",0
2005,2005-02-19,"Motu Ahi",3,"Pocillopora",26
2005,2005-02-19,"Motu Ahi",3,"Porites",2
2005,2005-02-19,"Motu Ahi",3,"other",0
2005,2005-02-21,"Nuarei",1,"Acropora",12.24
2005,2005-02-21,"Nuarei",1,"Astrea",0
2005,2005-02-21,"Nuarei",1,"Montipora",2.04
2005,2005-02-21,"Nuarei",1,"Pocillopora",18.37
2005,2005-02-21,"Nuarei",1,"Porites",2.04
2005,2005-02-21,"Nuarei",1,"other",2.04
2005,2005-02-21,"Nuarei",2,"Acropora",14.29
2005,2005-02-21,"Nuarei",2,"Astrea",0
2005,2005-02-21,"Nuarei",2,"Montipora",2.04
2005,2005-02-21,"Nuarei",2,"Pocillopora",28.57
2005,2005-02-21,"Nuarei",2,"Porites",4.08
2005,2005-02-21,"Nuarei",2,"other",0
2005,2005-02-21,"Nuarei",3,"Acropora",16
2005,2005-02-21,"Nuarei",3,"Astrea",2
2005,2005-02-21,"Nuarei",3,"Montipora",0
2005,2005-02-21,"Nuarei",3,"Pocillopora",24
2005,2005-02-21,"Nuarei",3,"Porites",0
2005,2005-02-21,"Nuarei",3,"other",2
2005,2005-02-21,"Temae",1,"Acropora",22.45
2005,2005-02-21,"Temae",1,"Astrea",2.04
2005,2005-02-21,"Temae",1,"Montipora",0
2005,2005-02-21,"Temae",1,"Pocillopora",20.41
2005,2005-02-21,"Temae",1,"Porites",2.04
2005,2005-02-21,"Temae",1,"other",8.16
2005,2005-02-21,"Temae",2,"Acropora",6
2005,2005-02-21,"Temae",2,"Astrea",0
2005,2005-02-21,"Temae",2,"Montipora",6
2005,2005-02-21,"Temae",2,"Pocillopora",28
2005,2005-02-21,"Temae",2,"Porites",0
2005,2005-02-21,"Temae",2,"other",4
2005,2005-02-21,"Temae",3,"Acropora",16
2005,2005-02-21,"Temae",3,"Astrea",0
2005,2005-02-21,"Temae",3,"Montipora",4
2005,2005-02-21,"Temae",3,"Pocillopora",12
2005,2005-02-21,"Temae",3,"Porites",0
2005,2005-02-21,"Temae",3,"other",0
2005,2005-02-22,"Gendron",1,"Acropora",4
2005,2005-02-22,"Gendron",1,"Astrea",2
2005,2005-02-22,"Gendron",1,"Montipora",2
2005,2005-02-22,"Gendron",1,"Pocillopora",26
2005,2005-02-22,"Gendron",1,"Porites",8
2005,2005-02-22,"Gendron",1,"other",2
2005,2005-02-22,"Gendron",2,"Acropora",0
2005,2005-02-22,"Gendron",2,"Astrea",0
2005,2005-02-22,"Gendron",2,"Montipora",4
2005,2005-02-22,"Gendron",2,"Pocillopora",24
2005,2005-02-22,"Gendron",2,"Porites",2
2005,2005-02-22,"Gendron",2,"other",2
2005,2005-02-22,"Gendron",3,"Acropora",2
2005,2005-02-22,"Gendron",3,"Astrea",2
2005,2005-02-22,"Gendron",3,"Montipora",8
2005,2005-02-22,"Gendron",3,"Pocillopora",16
2005,2005-02-22,"Gendron",3,"Porites",12
2005,2005-02-22,"Gendron",3,"other",4
2005,2005-02-23,"Aroa",1,"Acropora",4
2005,2005-02-23,"Aroa",1,"Astrea",0
2005,2005-02-23,"Aroa",1,"Montipora",2
2005,2005-02-23,"Aroa",1,"Pocillopora",10
2005,2005-02-23,"Aroa",1,"Porites",16
2005,2005-02-23,"Aroa",1,"other",8
2005,2005-02-23,"Aroa",2,"Acropora",4
2005,2005-02-23,"Aroa",2,"Astrea",0
2005,2005-02-23,"Aroa",2,"Montipora",0
2005,2005-02-23,"Aroa",2,"Pocillopora",14
2005,2005-02-23,"Aroa",2,"Porites",16
2005,2005-02-23,"Aroa",2,"other",0
2005,2005-02-23,"Aroa",3,"Acropora",4
2005,2005-02-23,"Aroa",3,"Astrea",0
2005,2005-02-23,"Aroa",3,"Montipora",0
2005,2005-02-23,"Aroa",3,"Pocillopora",10
2005,2005-02-23,"Aroa",3,"Porites",14
2005,2005-02-23,"Aroa",3,"other",8
2006,2006-01-10,"Haapiti",1,"Acropora",8
2006,2006-01-10,"Haapiti",1,"Astrea",0
2006,2006-01-10,"Haapiti",1,"Montipora",6
2006,2006-01-10,"Haapiti",1,"Pocillopora",8
2006,2006-01-10,"Haapiti",1,"Porites",4
2006,2006-01-10,"Haapiti",1,"other",2
2006,2006-01-10,"Haapiti",2,"Acropora",6
2006,2006-01-10,"Haapiti",2,"Astrea",2
2006,2006-01-10,"Haapiti",2,"Montipora",2
2006,2006-01-10,"Haapiti",2,"Pocillopora",8
2006,2006-01-10,"Haapiti",2,"Porites",2
2006,2006-01-10,"Haapiti",2,"other",4
2006,2006-01-10,"Haapiti",3,"Acropora",0
2006,2006-01-10,"Haapiti",3,"Astrea",0
2006,2006-01-10,"Haapiti",3,"Montipora",8
2006,2006-01-10,"Haapiti",3,"Pocillopora",12
2006,2006-01-10,"Haapiti",3,"Porites",6
2006,2006-01-10,"Haapiti",3,"other",4
2006,2006-01-10,"Taotaha",1,"Acropora",14
2006,2006-01-10,"Taotaha",1,"Astrea",0
2006,2006-01-10,"Taotaha",1,"Montipora",2
2006,2006-01-10,"Taotaha",1,"Pocillopora",16
2006,2006-01-10,"Taotaha",1,"Porites",0
2006,2006-01-10,"Taotaha",1,"other",0
2006,2006-01-10,"Taotaha",2,"Acropora",6
2006,2006-01-10,"Taotaha",2,"Astrea",0
2006,2006-01-10,"Taotaha",2,"Montipora",8
2006,2006-01-10,"Taotaha",2,"Pocillopora",0
2006,2006-01-10,"Taotaha",2,"Porites",0
2006,2006-01-10,"Taotaha",2,"other",18
2006,2006-01-10,"Taotaha",3,"Acropora",4.08
2006,2006-01-10,"Taotaha",3,"Astrea",0
2006,2006-01-10,"Taotaha",3,"Montipora",8.16
2006,2006-01-10,"Taotaha",3,"Pocillopora",8.16
2006,2006-01-10,"Taotaha",3,"Porites",4.08
2006,2006-01-10,"Taotaha",3,"other",2.04
2006,2006-01-11,"Gendron",1,"Acropora",8.16
2006,2006-01-11,"Gendron",1,"Astrea",0
2006,2006-01-11,"Gendron",1,"Montipora",8.16
2006,2006-01-11,"Gendron",1,"Pocillopora",26.53
2006,2006-01-11,"Gendron",1,"Porites",2.04
2006,2006-01-11,"Gendron",1,"other",6.12
2006,2006-01-11,"Gendron",2,"Acropora",4
2006,2006-01-11,"Gendron",2,"Astrea",2
2006,2006-01-11,"Gendron",2,"Montipora",2
2006,2006-01-11,"Gendron",2,"Pocillopora",36
2006,2006-01-11,"Gendron",2,"Porites",0
2006,2006-01-11,"Gendron",2,"other",4
2006,2006-01-11,"Gendron",3,"Acropora",4
2006,2006-01-11,"Gendron",3,"Astrea",0
2006,2006-01-11,"Gendron",3,"Montipora",4
2006,2006-01-11,"Gendron",3,"Pocillopora",22
2006,2006-01-11,"Gendron",3,"Porites",0
2006,2006-01-11,"Gendron",3,"other",4
2006,2006-01-11,"Tetaiuo",1,"Acropora",4
2006,2006-01-11,"Tetaiuo",1,"Astrea",2
2006,2006-01-11,"Tetaiuo",1,"Montipora",4
2006,2006-01-11,"Tetaiuo",1,"Pocillopora",12
2006,2006-01-11,"Tetaiuo",1,"Porites",10
2006,2006-01-11,"Tetaiuo",1,"other",6
2006,2006-01-11,"Tetaiuo",2,"Acropora",8
2006,2006-01-11,"Tetaiuo",2,"Astrea",4
2006,2006-01-11,"Tetaiuo",2,"Montipora",0
2006,2006-01-11,"Tetaiuo",2,"Pocillopora",22
2006,2006-01-11,"Tetaiuo",2,"Porites",12
2006,2006-01-11,"Tetaiuo",2,"other",2
2006,2006-01-11,"Tetaiuo",3,"Acropora",10
2006,2006-01-11,"Tetaiuo",3,"Astrea",2
2006,2006-01-11,"Tetaiuo",3,"Montipora",2
2006,2006-01-11,"Tetaiuo",3,"Pocillopora",10
2006,2006-01-11,"Tetaiuo",3,"Porites",6
2006,2006-01-11,"Tetaiuo",3,"other",0
2006,2006-01-12,"Afareaitu",1,"Acropora",14
2006,2006-01-12,"Afareaitu",1,"Astrea",0
2006,2006-01-12,"Afareaitu",1,"Montipora",2
2006,2006-01-12,"Afareaitu",1,"Pocillopora",20
2006,2006-01-12,"Afareaitu",1,"Porites",0
2006,2006-01-12,"Afareaitu",1,"other",2
2006,2006-01-12,"Afareaitu",2,"Acropora",14
2006,2006-01-12,"Afareaitu",2,"Astrea",0
2006,2006-01-12,"Afareaitu",2,"Montipora",4
2006,2006-01-12,"Afareaitu",2,"Pocillopora",20
2006,2006-01-12,"Afareaitu",2,"Porites",4
2006,2006-01-12,"Afareaitu",2,"other",2
2006,2006-01-12,"Afareaitu",3,"Acropora",2
2006,2006-01-12,"Afareaitu",3,"Astrea",0
2006,2006-01-12,"Afareaitu",3,"Montipora",2
2006,2006-01-12,"Afareaitu",3,"Pocillopora",20
2006,2006-01-12,"Afareaitu",3,"Porites",0
2006,2006-01-12,"Afareaitu",3,"other",4
2006,2006-01-12,"Maatea",1,"Acropora",4
2006,2006-01-12,"Maatea",1,"Astrea",0
2006,2006-01-12,"Maatea",1,"Montipora",2
2006,2006-01-12,"Maatea",1,"Pocillopora",28
2006,2006-01-12,"Maatea",1,"Porites",4
2006,2006-01-12,"Maatea",1,"other",2
2006,2006-01-12,"Maatea",2,"Acropora",0
2006,2006-01-12,"Maatea",2,"Astrea",0
2006,2006-01-12,"Maatea",2,"Montipora",2
2006,2006-01-12,"Maatea",2,"Pocillopora",28
2006,2006-01-12,"Maatea",2,"Porites",4
2006,2006-01-12,"Maatea",2,"other",2
2006,2006-01-12,"Maatea",3,"Acropora",0
2006,2006-01-12,"Maatea",3,"Astrea",0
2006,2006-01-12,"Maatea",3,"Montipora",0
2006,2006-01-12,"Maatea",3,"Pocillopora",20
2006,2006-01-12,"Maatea",3,"Porites",4
2006,2006-01-12,"Maatea",3,"other",0
2006,2006-01-12,"Motu Ahi",1,"Acropora",6
2006,2006-01-12,"Motu Ahi",1,"Astrea",2
