site,max_dhw
Haapiti,6.212857143
Taotaha,6.190428571
Tetaiuo,6.229857143
Gendron,6.264714286
Tiahura,6.240285714
Entre 2 baies,6.211
Pihaena,6.164285714
Aroa,6.078285714
Nuarei,5.822571429
Temae,5.765
Motu Ahi,5.798428571
Afareaitu,5.874
Maatea,5.961142857
